PublicationDate,RegistrationNumber,DesignCurrentStatusCode,ViewNumber
2001-03-02,006738,Registered,615146
2001-05-25,007170,Registered,623783
2001-05-25,007170,Registered,623784
2001-05-25,007170,Registered,623785
2001-05-25,007170,Registered,623786
2001-05-25,007170,Registered,623787
2001-05-25,007170,Registered,623788
2001-05-25,007170,Registered,623789
2001-05-25,007170,Registered,623790
2001-05-25,007170,Registered,623791
2001-05-25,007170,Registered,623792
2001-04-27,010389,Registered,621631;621632;621633
2001-04-27,010389,Registered,621634;621635;621636;621637
2001-04-27,010389,Registered,621638
2006-05-05,061175,Registered,778549
2006-10-20,061764,Registered,787750
2006-10-20,061764,Registered,787751
2006-10-20,061764,Registered,787752
2006-06-30,062090,Registered,781121
2006-06-30,062090,Registered,781106
2006-06-30,062090,Registered,781107
2006-07-13,062374,Registered,782131
2006-07-13,062374,Registered,782132
2006-07-13,062374,Registered,782133
2006-09-08,063279,Registered,785646;785647;785648;785649;785650;785651;785652
2006-09-22,063397,Registered,786030;786031
2006-09-22,063397,Registered,786032;786033;786034
2009-10-02,063958,Registered,847473;847474;847475
2009-10-02,063958,Registered,847476;847477
2009-10-02,063958,Registered,847478;847479;847480
2009-10-02,063958,Registered,847481
2009-10-02,063958,Registered,847482;847483;847484
2009-10-02,063958,Registered,847485
2009-10-02,063958,Registered,847486;847487
2009-10-02,063958,Registered,847488;847489
2009-10-02,063958,Registered,847490;847491
2009-10-02,063958,Registered,847492;847493
2007-02-09,064129,Registered,794923;794924;794925;794926;794927
2007-02-09,064129,Registered,794928;794929;794930;794931;794932
2009-08-07,092233,Registered,844367
2009-08-07,092233,Registered,844368
2009-08-07,092233,Registered,844369
2011-03-18,20110283,Registered,881147;881148;881149;881150;881151;881152;881153;881154
2011-05-27,20111746,Registered,886438
2011-05-27,20111746,Registered,886439
2011-05-27,20111746,Registered,886440
2011-05-27,20111746,Registered,886441
2011-05-27,20111787,Registered,886797
2013-12-06,20112047,Registered,936005
2013-12-06,20112047,Registered,936006
2013-12-06,20112047,Registered,936007
2013-12-06,20112047,Registered,936008
2013-12-06,20112047,Registered,936009
2014-01-31,20112125,Registered,938211
2011-11-10,20112178,Registered,896082
2011-11-25,20112742,Registered,897127
2011-11-25,20112742,Registered,897128
2011-11-25,20112742,Registered,897129;897130
2011-11-25,20112742,Registered,897131
2011-11-25,20112742,Registered,897132
2011-08-05,20112809,Registered,890628;890629
2011-11-25,20112906,Registered,897133;897134;897135;897136
2011-08-19,20113227,Registered,891805;891806;891807;891808;891809
2011-08-19,20113227,Registered,891810;891811;891812;891813;891814
2011-09-30,20113917,Registered,894236
2011-09-30,20113917,Registered,894237
2011-09-30,20113917,Registered,894238
2011-09-30,20113917,Registered,894239
2011-11-10,20113966,Registered,896492
2011-11-10,20113966,Registered,896493
2011-11-10,20113966,Registered,896494
2012-03-02,20114357,Registered,902210
2012-03-02,20114357,Registered,902211
2013-08-30,20133063,Registered,931423;931424
2013-08-30,20133063,Registered,931425
2014-01-31,20135257,Registered,938212
2014-01-31,20135257,Registered,938213
2014-01-31,20135257,Registered,938214
2014-01-31,20135257,Registered,938215
2014-01-31,20135257,Registered,938216
2014-01-31,20135257,Registered,938217
2014-01-31,20135257,Registered,938218
2014-01-31,20135257,Registered,938219
2014-01-31,20135257,Registered,938220
2014-01-31,20135257,Registered,938221
2014-01-31,20135257,Registered,938222
2014-01-31,20135257,Registered,938223
2014-01-31,20135257,Registered,938224
2014-01-31,20135257,Registered,938225
2014-01-31,20135257,Registered,938226
2014-01-31,20135257,Registered,938227
2014-01-31,20135257,Registered,938228
2014-01-31,20135257,Registered,938229
2014-01-31,20135258,Registered,938017
2014-01-31,20135258,Registered,938018
2014-01-31,20135258,Registered,938019
2014-01-31,20135258,Registered,938020
1993-03-31,930054,Registered,327359;327360;327361
1999-10-29,993924,Registered,559142
1999-10-29,993924,Registered,559143
1999-10-29,993924,Registered,559144
1999-10-29,993924,Registered,559145
1999-10-29,993924,Registered,559146
1999-10-29,993924,Registered,559147
1999-10-29,993924,Registered,559148
1999-10-29,993924,Registered,559149
1999-10-29,993924,Registered,559150
1999-10-29,993924,Registered,559151
1999-10-29,993924,Registered,559152
1999-10-29,993924,Registered,559153
1999-10-29,993924,Registered,559154
1999-10-29,993924,Registered,559155
1999-10-29,993924,Registered,559156
1999-10-29,993924,Registered,559157
1999-10-29,993924,Registered,559158
1999-10-29,993924,Registered,559159
1999-10-29,993924,Registered,559160
1999-10-29,993924,Registered,559161
1999-10-29,993924,Registered,559162
1999-10-29,993924,Registered,559163
1999-10-29,993924,Registered,559164
1999-10-29,993924,Registered,559165
