PublicationDate,RegistrationNumber,DesignCurrentStatusCode,ViewNumber
2016-06-03,20132137,Registered,981596
2016-06-03,20132202,Registered,981571
2016-06-03,20132202,Registered,981572
2016-06-03,20132221,Registered,981589;981590
2016-06-03,20132221,Registered,981591;981592
2016-06-03,20132221,Registered,981593;981594
2016-06-03,20132268,Registered,981595
2016-06-03,20132275,Registered,980774
2016-06-03,20132275,Registered,980775;980776
2016-06-03,20132275,Registered,980777
2016-06-03,20132275,Registered,980778
2016-06-03,20132275,Registered,980779
2016-06-03,20132296,Registered,981562
2016-06-03,20132296,Registered,981563
2016-06-03,20132296,Registered,981564
2016-06-03,20132296,Registered,981565
2016-06-03,20132296,Registered,981566
2016-06-03,20132296,Registered,981567
2016-06-03,20132296,Registered,981568
2016-06-03,20132296,Registered,981569
2016-06-03,20132296,Registered,981570
2016-06-03,20132374,Registered,981196
2016-06-03,20132374,Registered,981197
2016-06-03,20132381,Registered,981597
2016-06-03,20132381,Registered,981598
2016-06-03,20132381,Registered,981599
2016-06-03,20132396,Registered,981396;981397;981398;981399;981400;981401;981402
2016-06-03,20132396,Registered,981403;981404;981405;981406;981407;981408;981409
2016-06-03,20132438,Registered,981414
2016-06-03,20132438,Registered,981415
2016-06-03,20132438,Registered,981416
2016-06-03,20132442,Registered,981381;981382;981383;981384
2016-06-03,20132443,Registered,981385;981386;981387;981388
2016-06-03,20132444,Registered,981389;981390;981391;981392;981393;981394
2016-06-03,20132490,Registered,981573;981574
2016-06-03,20142701,Registered,981417;981418
2016-06-03,20145710,Registered,981600
2016-06-03,20145710,Registered,981601
2016-06-03,20145710,Registered,981602
2016-06-03,20145710,Registered,981603
2016-06-03,20152783,Registered,980943;980944;980945
2016-06-03,20152810,Registered,981133;981134;981135
2016-06-03,20153467,Registered,981165
2016-06-03,20153467,Registered,981166
2016-06-03,20153467,Registered,981167
2016-06-03,20153467,Registered,981168
2016-06-03,20153892,Registered,981271;981272;981273
2016-06-03,20154006,Registered,980821;980822;980823;980824
2016-06-03,20154006,Registered,980825;980826;980827
2016-06-03,20154006,Registered,980828;980829;980830;980831
2016-06-03,20154006,Registered,980832;980833;980834
2016-06-03,20154006,Registered,980835;980836;980837
2016-06-03,20154257,Registered,980960
2016-06-03,20154326,Registered,980961;980962;980963
2016-06-03,20154560,Registered,981026;981027;981028;981029
2016-06-03,20154571,Registered,980964;980965;980966;980967
2016-06-03,20154638,Registered,981359;981360
2016-06-03,20154638,Registered,981361;981362
2016-06-03,20154638,Registered,981363;981364
2016-06-03,20154638,Registered,981365;981366
2016-06-03,20154638,Registered,981367;981368
2016-06-03,20154638,Registered,981369;981370
2016-06-03,20154638,Registered,981371;981372
2016-06-03,20154638,Registered,981373;981374
2016-06-03,20154638,Registered,981375;981376
2016-06-03,20154638,Registered,981377;981378
2016-06-03,20154638,Registered,981379;981380
2016-06-03,20154743,Registered,981605
2016-06-03,20154743,Registered,981606
2016-06-03,20154743,Registered,981607
2016-06-03,20154743,Registered,981608
2016-06-03,20154805,Registered,981425
2016-06-03,20155016,Registered,981609
2016-06-03,20155070,Registered,981610
2016-06-03,20155200,Registered,981158;981159;981160
2016-06-03,20155260,Registered,981298
2016-06-03,20155300,Registered,981611
2016-06-03,20155436,Registered,981238
2016-06-03,20155436,Registered,981239
2016-06-03,20155450,Registered,981612
2016-06-03,20155462,Registered,981478
2016-06-03,20155462,Registered,981479
2016-06-03,20155462,Registered,981480
2016-06-03,20155467,Registered,981476;981477
2016-06-03,20155471,Registered,980968;980969
2016-06-03,20155774,Registered,981575
2016-06-03,20155809,Registered,981345;981346
2016-06-03,20155885,Registered,981576
2016-06-03,20155955,Registered,980970
2016-06-03,20155996,Registered,981270
2016-06-03,20156004,Registered,981577
2016-06-03,20156004,Registered,981578
2016-06-03,20156004,Registered,981560
2016-06-03,20156004,Registered,981561
2016-06-03,20156005,Registered,981483
2016-06-03,20156006,Registered,981484
2016-06-03,20156007,Registered,981485
2016-06-03,20156008,Registered,981486
2016-06-03,20156009,Registered,981487
2016-06-03,20156010,Registered,981613
2016-06-03,20156010,Registered,981614
2016-06-03,20156010,Registered,981615
2016-06-03,20156010,Registered,981616
2016-06-03,20156010,Registered,981617
2016-06-03,20156010,Registered,981618
2016-06-03,20156010,Registered,981619
2016-06-03,20156010,Registered,981620
2016-06-03,20156010,Registered,981621
2016-06-03,20156012,Registered,981622
2016-06-03,20156013,Registered,981498
2016-06-03,20156013,Registered,981499
2016-06-03,20156013,Registered,981500
2016-06-03,20156015,Registered,981192
2016-06-03,20156015,Registered,981193
2016-06-03,20156015,Registered,981194
2016-06-03,20156016,Registered,981623
2016-06-03,20156017,Registered,981470
